X_73,X_124,X_90,X_43,X_56,X_515,X_786,X_576,X_412,X_686,X_404,X_413,X_415,X_718,X_651,X_428,X_828,X_574,X_483,X_416,X_539,X_437,X_60,X_900,X_52,X_792,X_571,X_126,X_435,X_63,X_807,X_500,X_543,X_440,X_453,X_448,X_596,X_674,X_555,X_871,X_502,X_58,X_460,Y_Quality,Y_Class,PRODUCT_ID,PRODUCT_CODE,TIMESTAMP
10.09,,36.0,78.7,70.1,155.0,18.4,0.2,35.7,0.05,37.36734694,35.52258065,173.0,18.548387100000003,444.0,-33.09090909,12.0,0.22,169.7,170.7096774,15.0,498.0,73.8,2.0,80.2,412.2580645,25.0,3050.0,387.0,74.8,8.4,182.9580645,13.0,27.33516129,410.4897959,2535.0,0.1,26.6,13.3,0.09,303.5818182,79.7,89.93877551,0.530488889,1,TRAIN_044,T_31,2022-06-23 6:36
9.76,14429.0,37.0,78.1,67.0,163.2,18.18181818,0.2,36.7,0.06,37.26,35.46666667,181.0,17.2,445.6944444,-28.36363636,12.0,0.2,173.0,172.33333330000002,13.0,450.0,69.0,2.0,78.0,411.4,23.0,,386.0,72.7,8.6,184.6387097,14.0,27.314,409.38,2533.0,0.4,26.6,21.4,0.08,304.3272727,74.7,90.02,0.530947619,1,TRAIN_045,T_31,2022-06-23 10:24
9.76,14442.0,37.0,78.1,67.0,156.0,18.33333333,0.2,35.7,0.06,37.44897959,34.78333333,169.0,17.1,448.5227273,-28.54545455,12.0,0.18,181.5,164.5333333,17.0,360.0,69.0,3.0,78.0,411.9,22.0,,409.0,72.7,8.4,187.2451613,14.0,27.32833333,409.5102041,2534.0,0.2,26.6,21.0,0.08,310.0181818,74.7,89.85714286,0.532219048,1,TRAIN_046,T_31,2022-06-23 10:32
10.09,,36.0,78.7,70.1,154.8,18.16831683,0.2,35.7,0.06,37.36734694,34.97419355,169.0,17.09677419,447.45,-29.09090909,12.0,0.21,178.1,165.7419355,13.0,385.0,73.8,3.0,80.2,411.8064516,24.0,3448.0,400.0,74.8,8.3,183.1741935,17.0,27.35516129,411.6326531,2528.0,0.1,26.61290323,16.8,0.08,312.6909091,79.7,89.89795918,0.528660317,1,TRAIN_049,T_31,2022-06-24 1:02
10.09,,36.0,78.7,70.1,158.6,18.12149533,0.3,36.2,0.07,36.85714286,34.81290323,172.0,17.22580645,442.6153846,-33.45454545,12.0,0.26,182.1,166.1290323,18.0,317.0,73.8,2.0,80.2,411.38709680000005,23.0,3462.0,388.0,74.8,8.4,181.8709677,17.0,27.34451613,411.10204080000005,2530.0,0.4,26.69032258,14.3,0.08,304.2,79.7,90.12244898,0.531293651,1,TRAIN_050,T_31,2022-06-24 1:11
10.12,,36.0,78.7,70.1,161.1,18.15384615,0.1,35.2,0.05,37.75510204,34.87741935,170.0,17.451612899999997,442.6279070000001,-21.09090909,11.0,0.24,177.6,167.6451613,21.0,332.0,73.8,1.0,80.2,411.6129032,23.0,3667.0,386.0,74.8,8.4,181.1096774,13.0,27.35096774,411.4285714,2532.0,0.2,26.6,14.8,0.08,311.8,79.7,89.87755102,0.528493651,1,TRAIN_055,T_31,2022-06-24 8:59
9.91,15470.0,36.0,78.1,67.5,160.0,18.0619469,0.2,36.2,0.04,36.85416667,35.44193548,173.0,17.32258065,444.9473684,-25.45454545,11.0,0.18,175.1,169.7741935,17.0,380.0,68.0,3.0,78.4,411.1935484,24.0,,402.0,72.7,8.4,183.6612903,12.0,27.34322581,411.0,2532.0,0.2,26.62903226,14.3,0.09,311.3636364,74.6,89.75,0.5453428570000001,2,TRAIN_056,T_31,2022-06-24 9:08
9.71,17434.0,37.0,78.1,67.5,155.0,18.11111111,0.2,37.7,0.04,37.20408163,35.94193548,175.0,16.93548387,449.525,-26.90909091,11.0,0.27,174.1,172.7741935,14.0,398.0,68.0,1.0,78.4,412.1612903,24.0,,399.0,72.7,8.5,177.2677419,16.0,27.34419355,410.0612245,2535.0,0.3,26.6,15.5,0.08,308.5454545,74.6,89.93877551,0.534453968,1,TRAIN_060,T_31,2022-06-25 6:25
10.15,,35.0,78.7,70.1,169.1,18.06363636,0.2,36.7,0.06,37.14285714,35.2,176.0,16.74193548,443.7857143,-25.09090909,12.0,0.24,173.1,170.0645161,18.0,329.0,73.8,2.0,80.2,411.9032258,20.0,3922.0,409.0,74.8,8.5,182.5451613,12.0,27.35612903,409.7346939,2535.0,0.3,26.62258065,16.4,0.08,305.2,79.7,90.06122449,0.532134921,1,TRAIN_061,T_31,2022-06-25 6:34
10.12,,36.0,78.7,70.1,155.0,18.10185185,0.2,36.2,0.05,36.55102041,35.26774194,171.0,17.0,437.54761900000005,-25.81818182,12.0,0.23,166.0,164.8709677,12.0,359.0,73.8,0.0,80.2,411.1290323,22.0,4156.0,415.0,74.8,8.3,181.2967742,14.0,27.10709677,409.4285714,2534.0,0.3,26.6,18.2,0.07,302.9090909,79.7,89.65306122,0.5305063489999999,1,TRAIN_073,T_31,2022-06-26 8:11
9.65,19533.0,37.0,78.1,67.5,149.6,18.04587156,0.2,36.2,0.05,36.38775510000001,35.52,180.0,16.76666667,444.2619048,-21.2962963,11.0,0.17,176.0,172.66666669999998,12.0,317.0,68.0,4.0,78.4,412.1333333,23.0,,409.0,72.7,8.6,184.7533333,13.0,27.099,409.0816327,2533.0,0.4,26.6,11.7,0.07,311.6481481,74.6,89.51020408,0.532853968,1,TRAIN_074,T_31,2022-06-26 8:19
9.94,1022.0,36.0,78.6,66.5,158.7,17.31192661,0.2,36.7,0.06,36.93877551,35.60322581,178.0,17.451612899999997,452.875,-24.36363636,12.0,0.29,174.9,172.6451613,15.0,450.0,70.0,2.0,76.9,411.1612903,23.0,,386.0,73.7,8.5,184.5,16.0,27.34032258,411.0,2546.0,0.4,26.6,11.2,0.08,313.1818182,75.0,89.61224490000001,0.5244190479999999,0,TRAIN_085,T_31,2022-07-01 19:57
9.94,1027.0,36.0,78.6,66.5,154.2,17.30275229,0.2,36.7,0.08,38.18367347,35.86451613,176.0,17.67741935,459.972973,-23.09090909,11.0,0.25,171.0,172.3548387,17.0,403.0,70.0,1.0,76.9,411.6774194,21.0,,420.0,73.7,8.5,186.1806452,13.0,27.36387097,410.4081633,2553.0,0.3,26.62258065,15.3,0.07,313.9818182,75.0,89.59183673,0.520077778,0,TRAIN_086,T_31,2022-07-01 20:05
9.94,1029.0,36.0,78.6,66.5,151.0,17.31192661,0.3,37.2,0.07,38.26530612,36.31290323,186.0,17.35483871,456.3243243,-21.63636364,12.0,0.24,169.3,179.83870969999998,11.0,444.0,70.0,2.0,76.9,411.0967742,21.0,,386.0,73.7,8.8,178.5933333,14.0,27.33548387,410.4081633,2547.0,0.4,26.6,21.7,0.08,311.76363639999994,75.0,89.73469388,0.524861905,0,TRAIN_087,T_31,2022-07-01 20:13
9.94,1054.0,36.0,78.6,66.5,146.5,17.31730769,0.2,36.7,0.1,37.89795918,36.04333333,181.0,17.9,456.425,-19.27272727,12.0,0.25,184.1,174.7666667,15.0,430.0,70.0,0.0,76.9,411.0,23.0,,405.0,73.7,8.6,179.5096774,13.0,27.319000000000003,410.6326531,2544.0,0.3,26.6,28.3,0.08,311.9454545,75.0,89.67346939,0.520596825,0,TRAIN_088,T_31,2022-07-01 12:34
9.94,1073.0,36.0,78.6,66.5,155.3,17.81578947,0.1,36.7,0.06,38.18,35.92333333,175.0,18.0,451.85714289999993,-17.81818182,12.0,0.25,175.0,172.33333330000002,12.0,373.0,70.0,1.0,76.9,411.7,23.0,,403.0,73.7,8.5,179.7483871,11.0,27.289,410.98,2547.0,0.2,26.6,15.7,0.09,312.6545455,75.0,89.66,0.5174634920000001,0,TRAIN_089,T_31,2022-07-01 12:43
10.09,,36.0,78.7,70.1,163.1,17.34615385,0.2,35.8,0.06,37.54,35.42,172.0,16.93333333,453.3076923,-29.27272727,12.0,0.23,181.5,167.7,15.0,498.0,73.8,2.0,80.2,411.8333333,21.0,4698.0,387.0,74.8,8.4,186.8741935,15.0,27.164,410.9,2539.0,0.2,26.6,21.4,0.08,313.6545455,79.7,89.7,0.5303015870000001,1,TRAIN_092,T_31,2022-07-02 22:48
10.09,,36.0,78.7,70.1,161.1,17.37142857,0.2,36.7,0.06,37.97959184,35.78064516,174.0,16.93548387,456.1666667,-28.90909091,11.0,0.23,177.0,172.19354840000003,17.0,354.0,73.8,3.0,80.2,412.3225806,23.0,4713.0,409.0,74.8,8.5,184.3322581,15.0,27.16903226,411.1836735,2542.0,0.0,26.60967742,22.4,0.08,313.4,79.7,89.73469388,0.531061905,1,TRAIN_093,T_31,2022-07-02 22:56
10.06,,36.0,78.7,70.1,154.4,17.31192661,0.2,36.2,0.07,37.06122449,35.50645161,167.0,18.29032258,448.3157895,-31.81818182,12.0,0.18,174.7,164.67741940000002,17.0,360.0,73.8,3.0,80.2,411.0967742,22.0,4936.0,409.0,74.8,8.3,178.6419355,14.0,27.11870968,411.4489796,2543.0,0.2,26.60967742,17.8,0.06,304.43636360000005,79.7,89.97959184,0.5320841270000001,1,TRAIN_098,T_31,2022-07-04 3:12
10.06,1557.0,36.0,78.6,66.5,156.3,17.84210526,0.3,35.7,0.05,37.84,34.98333333,171.0,17.66666667,450.14285710000007,-39.81818182,11.0,0.17,170.5,164.8666667,15.0,354.0,70.0,2.0,76.9,411.2666667,24.0,,409.0,73.7,8.4,181.6677419,15.0,27.11366667,411.84,2543.0,0.4,26.62,10.4,0.07,302.2181818,75.0,89.82,0.52635873,1,TRAIN_099,T_31,2022-07-04 3:20
10.09,1823.0,36.0,78.6,66.5,160.0,17.27678571,0.2,36.2,0.06,37.83673469,35.31290323,170.0,18.16129032,454.4166667,-26.72727273,11.0,0.24,171.6,165.4516129,16.0,354.0,70.0,1.0,76.9,410.7096774,21.0,,409.0,73.7,8.3,176.57741940000005,17.0,27.33451613,409.755102,2536.0,0.3,26.6,18.2,0.08,311.3818182,75.0,89.65306122,0.52838254,1,TRAIN_100,T_31,2022-07-04 22:35
10.12,2062.0,35.0,78.6,66.5,157.7,18.02777778,0.2,36.2,0.05,37.0,35.23548387,172.0,17.80645161,446.3846154,-18.90909091,11.0,0.26,178.3,170.0967742,14.0,384.0,70.0,2.0,76.9,410.2580645,21.0,,400.0,73.7,8.4,181.8645161,14.0,27.16258065,410.7346939,2543.0,0.2,26.6,16.5,0.07,301.7272727,75.0,90.0,0.529952381,1,TRAIN_103,T_31,2022-07-05 14:39
10.12,2076.0,36.0,78.6,66.5,163.6,18.11111111,0.1,36.7,0.06,37.06122449,36.23333333,182.0,17.5,442.975,-24.90909091,12.0,0.25,178.3,176.7,13.0,498.0,70.0,2.0,76.9,411.8,23.0,,387.0,73.7,8.6,181.7483871,12.0,27.15166667,411.3877551000001,2540.0,0.2,26.6,20.4,0.08,302.1818182,75.0,89.91836735,0.527496825,1,TRAIN_104,T_31,2022-07-05 14:47
10.03,,36.0,78.7,70.1,160.5,17.94230769,0.1,35.2,0.06,37.64,34.91666667,170.0,17.93333333,454.7906977,-15.81818182,12.0,0.22,175.9,166.7,22.0,405.0,73.8,0.0,80.2,411.9333333,23.0,5713.0,385.0,74.8,8.4,175.7032258,13.0,27.35833333,410.78,2535.0,0.2,26.6,22.0,0.08,311.0909091,79.7,89.92,0.525003175,0,TRAIN_105,T_31,2022-07-05 23:31
10.15,2324.0,35.0,78.6,66.5,161.8,17.90909091,0.2,35.2,0.04,37.65306122,34.59032258,173.0,17.80645161,452.4736842,-16.18181818,12.0,0.24,180.0,164.8709677,16.0,379.0,70.0,0.0,76.9,412.0967742,23.0,,411.0,73.7,8.4,183.1548387,14.0,27.36806452,411.2244898,2538.0,0.4,26.6,19.0,0.09,312.47272730000003,75.0,89.83673469,0.532404762,1,TRAIN_106,T_31,2022-07-05 23:39
10.12,2581.0,36.0,78.6,66.5,160.6,17.95238095,0.3,36.7,0.06,37.48979592,36.31290323,183.0,17.48387097,454.2682927,-214.1818182,11.0,0.22,173.1,177.4193548,15.0,360.0,70.0,0.0,76.9,411.38709680000005,23.0,,418.0,73.7,8.7,178.0,14.0,27.41322581,409.0612245,2534.0,0.3,26.6,16.0,0.08,312.76363639999994,75.0,89.91836735,0.528912698,1,TRAIN_107,T_31,2022-07-06 15:32
10.12,2596.0,36.0,78.6,66.5,156.1,18.23214286,0.1,36.2,0.07,37.26530612,35.64333333,177.0,17.2,455.3333333000001,-215.2727273,12.0,0.26,173.6,174.4,12.0,391.0,70.0,0.0,76.9,411.1666667,23.0,,401.0,73.7,8.5,179.19354840000003,12.0,27.39866667,409.3877551000001,2545.0,0.2,26.6,21.0,0.08,312.6909091,75.0,89.85714286,0.529263492,1,TRAIN_108,T_31,2022-07-06 15:40
10.09,,36.0,78.7,70.1,160.2,18.48717949,0.1,36.7,0.06,37.65306122,36.08333333,180.0,18.1,449.4166667,-218.7272727,11.0,0.22,178.8,175.8,14.0,337.0,73.8,2.0,80.2,411.7,24.0,6222.0,400.0,74.8,8.7,183.5483871,14.0,27.095,410.3469388,2545.0,0.2,26.6,20.6,0.08,313.76363639999994,79.7,89.93877551,0.531933333,1,TRAIN_112,T_31,2022-07-07 2:17
10.06,,36.0,78.7,70.1,159.9,17.70754717,0.2,36.2,0.09,38.18,35.16666667,167.0,18.8,461.8292683,-207.2727273,12.0,0.19,178.6,162.83333330000002,11.0,357.0,73.8,2.0,80.2,410.9666667,23.0,6430.0,389.0,74.8,8.3,181.9129032,14.0,27.09033333,410.66,2541.0,0.2,26.6,10.3,0.08,312.5272727,79.7,90.06,0.529549206,1,TRAIN_113,T_31,2022-07-07 13:40
10.12,3055.0,35.0,78.6,66.5,157.1,18.0,0.2,36.2,0.06,37.34693878,35.94516129,182.0,18.03225806,458.1666667,-219.2727273,12.0,0.26,173.6,177.19354840000003,14.0,433.0,70.0,2.0,76.9,410.7096774,24.0,,427.0,73.7,8.7,180.06129030000002,12.0,27.11258065,411.0408163,2537.0,0.3,26.6,18.8,0.08,306.6727273,75.0,89.91836735,0.5306190479999999,1,TRAIN_114,T_31,2022-07-07 13:49
10.06,,36.0,78.7,70.1,152.5,17.88181818,0.2,37.2,0.05,37.61224489999999,35.81935484,179.0,17.451612899999997,460.0,-199.4545455,11.0,0.25,174.0,173.9032258,11.0,430.0,73.8,2.0,80.2,411.2903226,24.0,6641.0,379.0,74.8,8.6,182.3766667,16.0,27.09483871,409.1836735,2539.0,0.4,26.64516129,18.4,0.08,312.5454545,79.7,89.83673469,0.526180952,1,TRAIN_119,T_31,2022-07-07 22:36
10.06,,36.0,78.7,70.1,161.5,17.88495575,0.2,36.7,0.04,37.38775510000001,35.7483871,177.0,17.09677419,453.925,-202.5454545,12.0,0.28,170.0,172.16129030000002,14.0,354.0,73.8,3.0,80.2,411.0645161000001,21.0,6655.0,420.0,74.8,8.5,181.7645161,14.0,27.09483871,410.244898,2534.0,0.3,26.6,11.0,0.08,305.23636360000006,79.7,90.02040816,0.5283698410000001,1,TRAIN_120,T_31,2022-07-07 22:44
10.09,,36.0,78.2,70.2,158.1,17.77570093,0.2,36.7,0.05,36.86,35.95,176.0,18.03333333,445.525,-206.9090909,11.0,0.28,179.2,173.43333330000002,14.0,453.0,72.8,3.0,80.2,412.3333333,23.0,6907.0,409.0,74.8,8.5,182.6451613,12.0,27.074,410.08,2530.0,0.2,26.6,19.3,0.08,304.3636364,78.7,89.88,0.530969841,1,TRAIN_121,T_31,2022-07-08 10:21
10.12,3540.0,35.0,78.6,66.5,160.0,18.30769231,0.1,35.2,0.05,37.48979592,34.05806452,160.0,17.548387100000003,448.7777778,-212.1818182,11.0,0.23,183.0,156.516129,14.0,406.0,70.0,2.0,76.9,411.5806452,23.0,,386.0,73.7,8.1,183.8225806,16.0,27.08451613,409.5918367,2541.0,0.1,26.67096774,28.1,0.08,303.4545455,75.0,90.0,0.529990476,1,TRAIN_122,T_31,2022-07-08 10:29
10.12,3762.0,36.0,78.6,66.5,162.7,17.76923077,0.1,35.2,0.05,37.59183673,34.81290323,170.0,16.90322581,452.975,-34.72727273,11.0,0.2,172.8,166.4193548,15.0,328.0,70.0,3.0,76.9,412.0,26.0,,413.0,73.7,8.3,184.8516129,15.0,27.10645161,412.0816327,2532.0,0.2,26.6,21.7,0.08,303.8363636,75.0,90.30612245,0.529166667,1,TRAIN_125,T_31,2022-07-09 0:01
10.12,3776.0,36.0,78.6,66.5,170.1,18.04504505,0.3,37.2,0.07,37.57142857,35.8,184.0,16.8,455.6944444,-34.72727273,11.0,0.2,183.1,171.5333333,12.0,302.0,70.0,2.0,76.9,411.2333333,22.0,,409.0,73.7,8.7,178.4354839,16.0,27.09866667,411.8367347,2546.0,0.6,26.6,18.7,0.08,302.0363636,75.0,90.51020408,0.52798254,1,TRAIN_126,T_31,2022-07-09 0:09
10.15,4048.0,35.0,78.6,66.5,151.7,17.71296296,0.1,36.7,0.05,37.26530612,35.68387097,180.0,18.06451613,449.75,-22.0,12.0,0.2,168.4,176.5806452,12.0,347.0,70.0,2.0,76.9,411.2580645,23.0,,409.0,73.7,8.5,185.9516129,12.0,27.08290323,412.0,2537.0,0.2,26.6,12.8,0.08,303.43636360000005,75.0,90.10204082,0.5339714289999999,1,TRAIN_127,T_31,2022-07-09 11:08
10.15,4062.0,36.0,78.6,66.5,154.0,18.07692308,0.1,36.2,0.04,37.55102041,35.45806452,172.0,17.61290323,453.1388888999999,-31.45454545,12.0,0.17,174.3,170.4193548,18.0,333.0,70.0,2.0,76.9,411.6774194,21.0,,409.0,73.7,8.4,175.4645161,15.0,27.09903226,411.4081633,2539.0,0.1,26.6,23.4,0.08,306.3090909,75.0,90.36734694,0.526988889,1,TRAIN_128,T_31,2022-07-09 11:16
10.09,4279.0,36.0,78.6,66.5,147.7,17.67961165,0.2,36.7,0.05,38.2244898,35.50645161,177.0,17.80645161,456.9534884,-28.0,12.0,0.26,175.8,168.5806452,15.0,360.0,70.0,0.0,76.9,411.6129032,23.0,,409.0,73.7,8.5,177.66129030000002,13.0,27.11225806,411.244898,2536.0,0.3,26.6,20.5,0.08,303.43636360000005,75.0,90.06122449,0.523046032,0,TRAIN_130,T_31,2022-07-09 19:35
10.19,4491.0,35.0,78.6,66.5,165.3,17.75949367,0.2,36.2,0.05,37.34693878,35.46666667,171.0,19.76666667,457.2727273,-16.60714286,12.0,0.2,178.7,165.83333330000002,15.0,346.0,70.0,2.0,76.9,410.4666667,28.0,,409.0,73.7,8.4,188.56875,18.0,27.09433333,411.5306122,2542.0,0.2,26.6,18.6,0.08,309.625,75.0,90.28571429,0.5301873020000001,1,TRAIN_133,T_31,2022-07-10 6:17
10.06,,36.0,78.2,70.2,157.6,18.15384615,0.3,35.8,0.07,38.02040816,35.17096774,171.0,17.80645161,461.8536585,-22.36363636,12.0,0.26,174.6,166.5806452,12.0,420.0,72.8,4.0,80.2,412.483871,22.0,7880.0,388.0,74.8,8.4,183.7451613,15.0,27.098387100000004,411.6530612,2537.0,0.3,26.6,19.9,0.08,305.9090909,78.7,90.40816327,0.527695238,1,TRAIN_134,T_31,2022-07-10 6:25
10.09,,36.0,78.2,70.2,142.5,17.64705882,0.3,37.2,0.04,38.91836735,35.45806452,182.0,18.87096774,470.9761905,-27.27272727,12.0,0.22,168.6,171.2258065,21.0,409.0,72.8,3.0,80.2,412.0645161000001,21.0,8055.0,382.0,74.8,8.7,180.1225806,11.0,27.32354839,412.3673469,2540.0,0.7,26.6,14.3,0.08,311.6181818,78.7,90.28571429,0.532690476,1,TRAIN_135,T_31,2022-07-11 1:26
10.19,4681.0,35.0,78.6,66.5,156.6,17.77272727,0.1,36.7,0.06,38.5,36.37741935,181.0,18.38709677,469.6756757,-30.36363636,11.0,0.23,170.0,177.516129,18.0,440.0,70.0,2.0,76.9,411.2903226,24.0,,388.0,73.7,8.6,185.8741935,15.0,27.29870968,411.5833333,2541.0,0.3,26.63225806,19.9,0.08,313.2727273,75.0,90.29166667,0.532006349,1,TRAIN_136,T_31,2022-07-11 1:35
10.06,,36.0,78.2,70.2,157.1,17.72115385,0.1,36.2,0.07,38.63265306,35.34516129,169.0,16.93548387,465.4047619,-25.81818182,12.0,0.29,168.9,167.0,11.0,377.0,72.8,3.0,80.2,411.3225806,21.0,8292.0,409.0,74.8,8.4,181.683871,13.0,27.29290323,410.4489796,2542.0,0.2,26.6,19.2,0.08,310.63636360000004,78.7,90.51020408,0.533887302,1,TRAIN_137,T_31,2022-07-11 7:04
10.06,,36.0,78.2,70.2,161.1,18.23076923,0.1,35.7,0.06,38.69387755,35.42580645,169.0,17.0,463.8918919,-26.54545455,12.0,0.23,175.0,167.19354840000003,16.0,359.0,72.8,1.0,80.2,411.6129032,23.0,8307.0,409.0,74.8,8.4,181.5225806,16.0,27.31838710000001,411.6122449,2534.0,0.1,26.6,21.0,0.08,313.8909091,78.7,90.20408163,0.531828571,1,TRAIN_138,T_31,2022-07-11 7:12
10.38,,35.0,77.3,70.4,157.0,17.8125,0.2,36.7,0.03,36.44897959,35.94516129,178.0,17.451612899999997,460.825,-26.36363636,12.0,0.25,176.4,174.0322581,14.0,420.0,71.8,1.0,79.9,411.2903226,23.0,8523.0,409.0,73.7,8.5,185.2333333,13.0,27.31774194,411.4285714,2543.0,0.2,26.55483871,10.0,0.09,304.6727273,77.9,90.53061224,0.547901587,2,TRAIN_141,T_31,2022-07-11 11:35
10.15,5148.0,35.0,78.6,66.5,156.0,17.67619048,0.2,36.7,0.05,36.7755102,36.2,178.0,17.51612903,458.9545455,-26.0,11.0,0.26,176.1,174.9677419,15.0,364.0,70.0,2.0,76.9,411.0,21.0,,409.0,73.7,8.5,184.5903226,15.0,27.32741935,411.5510204,2543.0,0.1,26.6,18.2,0.09,303.6181818,75.0,90.57142857,0.529014286,1,TRAIN_142,T_31,2022-07-11 11:44
10.12,,36.0,77.3,70.4,160.1,18.09433962,0.2,35.7,0.07,38.3,34.85,168.0,17.96666667,466.5365853999999,-19.81818182,12.0,0.29,179.1,164.6333333,15.0,355.0,71.8,0.0,79.9,411.5,23.0,8730.0,404.0,73.7,8.3,180.6193548,17.0,27.09766667,411.38,2542.0,0.2,26.6,7.6,0.06,302.6,77.9,90.4,0.532739683,1,TRAIN_143,T_31,2022-07-12 1:54
10.19,5364.0,35.0,78.6,66.5,152.9,18.28947368,0.2,37.2,0.04,37.87755102,36.31290323,179.0,17.548387100000003,464.2368421,-19.27272727,12.0,0.19,175.0,174.67741940000002,14.0,384.0,70.0,1.0,76.9,411.0967742,21.0,,409.0,73.7,8.5,184.1709677,14.0,27.11225806,411.2857143,2546.0,0.2,26.6,13.7,0.07,305.2545455,75.0,90.30612245,0.529225397,1,TRAIN_144,T_31,2022-07-12 2:02
